agegroup,popage2020,propage
1,83932.437,0.058313799
2,86735.183,0.060261065
3,84262.751,0.058543291
4,82341.859,0.057208712
5,87158.167,0.060554942
6,97989.003,0.068079889
7,128738.97,0.089444066
8,100091.455,0.069540611
9,96274.146,0.066888457
10,119837.617,0.083259666
11,123445.382,0.085766236
12,98740.491,0.068602001
13,77514.139,0.053854553
14,74149.766,0.051517086
15,44949.689,0.031229727
16,26544.616,0.018442422
