agegroup,popage2020,propage
1,14475.093,0.068099046
2,14601.817,0.068695228
3,14942.442,0.070297721
4,16218.004,0.076298688
5,17152.049,0.080692965
6,16952.594,0.079754616
7,17147.907,0.080673479
8,17328.855,0.081524761
9,15661.313,0.073679698
10,13800.693,0.064926286
11,12822.932,0.060326344
12,11598.27,0.054564839
13,9468.159,0.044543589
14,7428.703,0.034948832
15,5309.419,0.024978518
16,3492.132,0.016428969
