agegroup,popage2020,propage
1,4058.679,0.048442205
2,3822.225,0.045620017
3,3811.645,0.04549374
4,4118.971,0.049161817
5,4553.436,0.054347357
6,4823.925,0.057575768
7,5441.865,0.064951167
8,5430.155,0.064811403
9,5059.667,0.060389458
10,5183.684,0.061869658
11,6681.221,0.079743452
12,6807.172,0.081246735
13,5820.703,0.069472773
14,4823.439,0.057569968
15,3833.823,0.045758445
16,3637.591,0.043416325
