agegroup,popage2020,propage
1,3907.487,0.06337816
2,3995.688,0.064808752
3,3887.789,0.063058665
4,3697.019,0.059964438
5,3674.01,0.05959124
6,3941.533,0.063930375
7,4069.517,0.066006234
8,3943.397,0.063960609
9,4382.27,0.071078985
10,4363.401,0.070772936
11,4271.656,0.069284862
12,3973.248,0.064444782
13,3791.538,0.061497506
14,3523.616,0.057151898
15,2204.088,0.035749586
16,1812.327,0.029395351
