agegroup,popage2020,propage
1,5764.945,0.097202366
2,5820.66,0.098141773
3,5495.963,0.092667078
4,4913.211,0.082841334
5,4924.091,0.083024781
6,5217.398,0.087970211
7,5374.11,0.090612522
8,4781.215,0.080615758
9,3810.04,0.064240839
10,3233.235,0.054515367
11,2692.132,0.045391864
12,2219.4,0.03742116
13,1794.715,0.030260574
14,1369.726,0.023094862
15,895.217,0.015094196
16,580.838,0.009793472
