agegroup,popage2020,propage
1,1897.011,0.037000999
2,2256.802,0.044018685
3,2276.782,0.044408392
4,2476.476,0.048303403
5,3216.244,0.0627325
6,3500.05,0.068268106
7,3282.425,0.064023353
8,3797.414,0.074068159
9,3924.934,0.076555423
10,4293.91,0.083752261
11,4315.516,0.084173684
12,4161.183,0.081163435
13,3774.566,0.073622511
14,2679.14,0.052256343
15,1998.091,0.038972554
16,1562.555,0.03047747
