agegroup,popage2020,propage
1,4778.481,0.037781585
2,5401.488,0.042707458
3,5564.526,0.043996536
4,5702.645,0.045088589
5,5996.877,0.047414966
6,6150.448,0.048629192
7,6789.745,0.053683864
8,7665.671,0.060609469
9,8468.421,0.0669565
10,10004.654,0.079102895
11,8658.611,0.068460258
12,7882.904,0.062327046
13,7496.122,0.059268912
14,8379.113,0.066250377
15,9127.318,0.072166142
16,7058.057,0.055805303
