agegroup,popage2020,propage
1,3924.49,0.057810002
2,4119.566,0.060683584
3,3956.34,0.05827917
4,3686.133,0.054298865
5,4074.64,0.060021798
6,4484.067,0.066052894
7,4706.828,0.069334292
8,4588.196,0.067586774
9,4308.13,0.06346124
10,4296.121,0.063284341
11,4634.54,0.068269448
12,4538.925,0.066860984
13,3905.016,0.057523138
14,3381.761,0.04981529
15,3388.488,0.049914383
16,2442.147,0.035974234
