agegroup,popage2020,propage
1,1990.096,0.042564544
2,2244.391,0.048003452
3,2497.954,0.053426705
4,2238.123,0.047869391
5,2255.909,0.048249802
6,2361.69,0.050512265
7,2618.972,0.056015061
8,3283.021,0.070217864
9,4000.876,0.08557148
10,3937.623,0.084218614
11,3632.242,0.077687068
12,3414.085,0.073021085
13,2939.311,0.062866531
14,2401.343,0.051360371
15,2204.15,0.04714277
16,1811.156,0.038737342
