X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
3.073574863,1.613843226,0.854466052,0.548810301,0.917248991,1.343630819,1.417864586,1.145881999,0.612008181,0.347069404,0.362763654,0.295728682,0.184139605,0.124758906,0.067035351,0.033142134
1.409182739,11.46292019,2.017084679,0.582453215,0.406087992,0.942300636,1.172843192,1.157064484,0.869363357,0.390837254,0.248565997,0.211709404,0.160264155,0.100029973,0.044180454,0.028241769
0.574395147,3.380620203,12.55358788,1.309604073,0.634271622,0.582429568,0.689388774,0.912641548,0.934046842,0.525921931,0.275313844,0.143757165,0.087244384,0.079608331,0.05324697,0.033641152
0.355404928,0.799885615,3.74278399,9.680375141,2.238912835,1.064179868,0.682863188,0.875962053,0.926009295,0.823154779,0.41535039,0.162285328,0.105501848,0.054711805,0.028986944,0.016757773
0.632213391,0.507747872,0.607537693,3.86120338,6.18404895,2.669956655,1.458725087,1.120548977,0.893617243,0.987709575,0.635683193,0.307230865,0.182995064,0.043876551,0.041180485,0.027952991
1.164137276,0.696554175,0.34726258,1.181610644,3.158546147,4.189172534,2.142396786,1.479873593,1.094092361,0.864564514,0.753167089,0.343692185,0.25294064,0.052512779,0.021633334,0.016043661
1.10013964,1.59936701,1.113350056,0.581962469,1.315116173,2.136158219,2.577954561,1.791676376,1.224024891,0.863102323,0.613781634,0.347582902,0.278919383,0.06140179,0.030650209,0.020980105
0.985871715,1.574233524,1.257412276,0.796345084,0.823452579,1.468151202,1.70700576,2.247130112,1.602040362,0.952980972,0.616426581,0.266372388,0.248920636,0.095589401,0.048840938,0.015512327
0.685914563,1.147399881,1.265476138,1.126318328,0.901834172,1.121266419,1.376117545,1.47888062,1.727701851,1.112778538,0.702425809,0.190952863,0.237829337,0.06863058,0.041280165,0.017788554
0.414101017,0.942666242,0.98094922,1.378295142,0.842322891,0.883654882,0.985966191,1.099673172,1.067464568,1.096805707,0.664999956,0.233183457,0.178040805,0.043894228,0.035940543,0.029407567
0.466897508,0.886790531,1.121194239,1.074471321,0.91303759,1.070351278,0.914084192,0.834235956,1.024942581,1.023903308,0.826049284,0.378465688,0.222341153,0.049309457,0.036243703,0.031327831
0.771067103,1.124762485,0.812847822,0.817604344,0.660018609,0.921927902,0.842623042,0.587493481,0.561036121,0.502020753,0.535867269,0.453221837,0.296716442,0.105753785,0.041623357,0.029668137
0.682547603,0.794362883,0.540316732,0.568270265,0.540235399,0.783573339,0.854703345,0.912380808,0.732621617,0.622481023,0.518354163,0.422014004,0.397199372,0.15963524,0.067048716,0.020297394
0.396252295,0.675294198,0.570854429,0.273521324,0.27387817,0.318319987,0.417052587,0.42486282,0.318127729,0.168941552,0.177575274,0.212050051,0.186627352,0.216962779,0.092128988,0.026098841
0.199298742,0.608283854,0.593330005,0.469486166,0.144333509,0.249003179,0.206890628,0.356741741,0.347576265,0.275084578,0.221263916,0.168212372,0.202848028,0.164365432,0.171895614,0.093469135
0.263182285,0.394697453,0.602899709,0.47651081,0.127504755,0.131610301,0.165197191,0.249732363,0.267203503,0.241076937,0.252121325,0.1309613,0.079356938,0.112452337,0.084041859,0.07640729
